siteID,year,a0c0,ac0,a0n0,an0,bc0,bn0,soilresp,biomassC,C_into_A0,net_C_into_A0,net_prim_prodC,biomassN,N_into_A0,net_N_into_A0,net_prim_prodN,avail_n
0,0,1.44566,34.5446,0.497800E-01,2.61679,3.03021,0.00000,2.67946,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.609199E-01
0,1,0.330617,34.6119,0.302265E-01,2.62922,3.15859,0.488051E-02,1.25749,0.00000,0.338148,0.00000,1.97797,0.00000,0.844793E-02,0.488051E-02,0.121148E-01,0.632527E-01
0,2,0.847637E-01,34.5968,0.251465E-01,2.62666,3.26627,0.862737E-02,1.08438,2.33447,0.931081,0.00000,2.52027,0.523417E-02,0.208869E-01,0.374686E-02,0.257841E-01,0.635670E-01
0,3,0.189636,34.6600,0.277052E-01,2.62168,3.35839,0.116351E-01,1.17965,5.50300,1.43987,0.00000,1.52729,0.123454E-01,0.301141E-01,0.300769E-02,0.334901E-01,0.651600E-01
0,4,0.435318,34.9304,0.358956E-01,2.61218,3.42832,0.136045E-01,1.39263,7.68141,1.97858,0.00000,2.04700,0.172118E-01,0.409197E-01,0.196946E-02,0.454655E-01,0.590015E-01
0,5,0.669984,35.5363,0.463101E-01,2.59939,3.45937,0.136045E-01,1.74608,10.4646,2.61771,0.00000,2.56670,0.234248E-01,0.533966E-01,0.00000,0.591242E-01,0.619966E-01
0,6,0.732659,36.4871,0.547072E-01,2.58719,3.49301,0.136045E-01,2.13292,13.1877,3.17990,0.00000,2.60491,0.295016E-01,0.647466E-01,0.00000,0.705594E-01,0.643300E-01
0,7,0.975799,37.6430,0.670073E-01,2.57623,3.52544,0.136045E-01,2.27233,15.7312,3.70389,0.00000,2.40018,0.351731E-01,0.745939E-01,0.00000,0.799465E-01,0.626437E-01
0,8,1.01679,39.0877,0.755548E-01,2.56758,3.55978,0.136045E-01,2.53861,17.7991,4.05868,0.00000,1.99663,0.397838E-01,0.818299E-01,0.00000,0.862773E-01,0.612372E-01
0,9,0.874833,40.7952,0.784554E-01,2.56450,3.59783,0.136045E-01,2.78959,19.5305,4.39318,0.00000,1.61856,0.436415E-01,0.876209E-01,0.00000,0.912244E-01,0.679729E-01
0,10,0.872291,42.6083,0.831167E-01,2.56157,3.63738,0.136045E-01,2.86456,21.5338,4.71465,0.00000,1.92865,0.481043E-01,0.939590E-01,0.00000,0.982583E-01,0.641020E-01
0,11,1.13630,44.4274,0.926344E-01,2.55688,3.67628,0.136045E-01,2.90688,23.0491,5.02894,0.700295E-01,1.36951,0.514833E-01,0.984995E-01,0.00000,0.101549,0.661359E-01
0,12,1.28328,46.5392,0.953746E-01,2.55785,3.71773,0.136045E-01,3.43860,24.5199,5.73879,0.729790,0.902607,0.547600E-01,0.103297,0.00000,0.105307,0.662696E-01
0,13,1.74872,48.5553,0.101158,2.55856,3.75933,0.136045E-01,3.65178,25.5497,6.17489,1.34590,0.547651,0.570548E-01,0.103221,0.00000,0.104440,0.652718E-01
0,14,1.30337,50.6614,0.943267E-01,2.56578,3.80618,0.136045E-01,3.72706,26.2511,5.43467,0.538178,1.25782,0.586176E-01,0.973873E-01,0.00000,0.100187,0.665513E-01
0,15,1.15108,52.5990,0.925484E-01,2.57025,3.85459,0.136045E-01,3.47698,27.6152,5.31072,0.129837,1.52415,0.616555E-01,0.979159E-01,0.00000,0.101313,0.681986E-01
0,16,1.36123,54.4987,0.961005E-01,2.57173,3.90238,0.136045E-01,3.53750,29.2238,5.69514,0.361299,1.34378,0.652423E-01,0.101503,0.00000,0.104495,0.665364E-01
0,17,1.72898,56.3750,0.101565,2.57096,3.95110,0.136045E-01,3.78146,30.4230,6.07427,0.689771,0.861168,0.679118E-01,0.103290,0.00000,0.105201,0.649693E-01
0,18,1.56112,58.3337,0.998594E-01,2.57525,4.00355,0.136045E-01,3.93598,31.2347,5.77927,0.458745,1.05868,0.697129E-01,0.101540,0.00000,0.103885,0.683597E-01
0,19,1.58170,60.2358,0.100658,2.57887,4.05666,0.136045E-01,3.89637,32.5987,5.87225,0.240906,1.30861,0.727382E-01,0.102611,0.00000,0.105515,0.656814E-01
0,20,1.69246,62.1979,0.985817E-01,2.58436,4.11419,0.136045E-01,4.35586,33.6553,6.48625,0.970535,0.482989,0.750819E-01,0.104896,0.00000,0.105960,0.704749E-01
0,21,2.04104,63.8851,0.105918,2.58392,4.16836,0.136045E-01,3.97888,34.6746,6.06882,0.392427,1.38169,0.773399E-01,0.102705,0.00000,0.105782,0.671243E-01
0,22,2.45229,65.6975,0.108327,2.58531,4.22719,0.136045E-01,4.69411,35.7477,6.97649,1.60222,0.189564,0.797330E-01,0.105286,0.00000,0.105690,0.697872E-01
0,23,2.33478,67.4119,0.108665,2.58960,4.28568,0.136045E-01,4.41956,36.4100,6.07487,0.662983,1.40702,0.811904E-01,0.996875E-01,0.00000,0.102822,0.673573E-01
0,24,2.30672,69.1709,0.106350,2.59542,4.34705,0.136045E-01,4.66736,37.6070,6.45969,0.947865,0.814291,0.838575E-01,0.100598,0.00000,0.102412,0.683535E-01
0,25,2.03686,70.8636,0.102606,2.60185,4.41062,0.136045E-01,4.53073,38.5937,6.01714,0.345395,1.38128,0.860551E-01,0.985219E-01,0.00000,0.101595,0.704935E-01
0,26,1.69708,72.5675,0.971535E-01,2.60842,4.47782,0.136045E-01,4.53115,40.1274,5.96245,0.230403,1.64979,0.894680E-01,0.997886E-01,0.00000,0.103461,0.727571E-01
0,27,1.98041,74.1172,0.100412,2.61008,4.54422,0.136045E-01,4.48336,41.9190,6.38272,0.301764,1.46130,0.934558E-01,0.102772,0.00000,0.106024,0.683383E-01
0,28,2.35330,75.6374,0.104588,2.61056,4.61245,0.136045E-01,4.77388,42.9545,6.73516,0.848580,0.702740,0.957591E-01,0.104015,0.00000,0.105572,0.698444E-01
0,29,2.53002,77.1426,0.107390,2.61267,4.68131,0.136045E-01,4.86746,43.8839,6.61830,0.663966,0.995961,0.978202E-01,0.102604,0.00000,0.104815,0.726332E-01
0,30,2.75758,78.5974,0.113200,2.61236,4.74807,0.136045E-01,4.71944,45.1656,6.46857,0.642960,1.43677,0.100667,0.102402,0.00000,0.105587,0.674069E-01
0,31,2.82820,80.2660,0.108215,2.62030,4.82259,0.136045E-01,5.67680,46.1303,7.49060,1.60945,-0.727258E-01,0.102801,0.104325,0.00000,0.104145,0.702056E-01
0,32,2.38225,81.7447,0.102719,2.62883,4.89840,0.136045E-01,5.19358,46.5321,6.30213,0.528371,1.44655,0.103676,0.984000E-01,0.00000,0.101615,0.725324E-01
0,33,2.49192,83.0950,0.103807,2.63232,4.97324,0.136045E-01,5.02586,48.1661,6.56079,0.397035,1.42089,0.107308,0.100006,0.00000,0.103172,0.674153E-01
0,34,2.36054,84.5345,0.972409E-01,2.64024,5.05649,0.136045E-01,5.70127,49.0730,7.09264,0.994540,0.383358,0.109331,0.101376,0.00000,0.102231,0.713221E-01
0,35,2.63088,85.7165,0.101786,2.64348,5.13255,0.136045E-01,5.03324,49.8952,6.56169,0.403238,1.28847,0.111162,0.987296E-01,0.00000,0.101594,0.694419E-01
0,36,2.32283,87.0651,0.964407E-01,2.64963,5.21551,0.136045E-01,5.53387,51.0056,6.65731,0.426886,1.03358,0.113632,0.993650E-01,0.00000,0.101661,0.751744E-01
0,37,2.41737,88.2713,0.973333E-01,2.65279,5.29797,0.136045E-01,5.35477,52.5579,6.73804,0.219712,1.51343,0.117082,0.100490,0.00000,0.103864,0.741829E-01
0,38,2.56748,89.4879,0.990498E-01,2.65504,5.38116,0.136045E-01,5.50332,53.9113,6.95314,0.699303,1.19175,0.120100,0.102196,0.00000,0.104844,0.722605E-01
0,39,2.80715,90.6653,0.101928,2.65720,5.46456,0.136045E-01,5.58768,54.9448,7.08819,0.823149,0.885551,0.122396,0.102204,0.00000,0.104168,0.745690E-01
0,40,2.90679,91.8475,0.105510,2.65895,5.54504,0.136045E-01,5.40619,56.0890,6.76854,0.582383,1.44118,0.124935,0.100965,0.00000,0.104178,0.698710E-01
0,41,3.13791,93.1336,0.104311,2.66437,5.62997,0.136045E-01,6.09246,57.0701,7.69458,1.09362,0.474243E-01,0.127124,0.102870,0.00000,0.102963,0.709478E-01
0,42,3.11364,94.2927,0.104700,2.66909,5.71339,0.136045E-01,5.75428,57.3521,6.97255,0.542132,0.911169,0.127740,0.991323E-01,0.00000,0.101162,0.730533E-01
0,43,2.61823,95.4471,0.991328E-01,2.67412,5.80446,0.136045E-01,5.88747,58.4629,6.63739,0.424758,1.45230,0.130213,0.985253E-01,0.00000,0.101764,0.701382E-01
0,44,3.14128,96.4905,0.102656,2.67851,5.89138,0.136045E-01,5.86252,59.6040,7.51588,0.969567,0.282776,0.132760,0.100948,0.00000,0.101572,0.721138E-01
0,45,3.01588,97.5611,0.998362E-01,2.68422,5.98302,0.136045E-01,6.16530,60.1539,7.20196,0.347806,0.805056,0.133978,0.989053E-01,0.00000,0.100701,0.743340E-01
0,46,2.93312,98.5234,0.102099,2.68685,6.07109,0.136045E-01,5.61770,61.1406,6.58537,0.421882,1.61599,0.136178,0.978249E-01,0.00000,0.101421,0.750083E-01
0,47,3.20211,99.5295,0.105284,2.68817,6.15922,0.136045E-01,5.82961,62.7709,7.19282,0.476943,1.07049,0.139807,0.100254,0.00000,0.102638,0.706870E-01
0,48,3.24051,100.591,0.103933,2.69349,6.25162,0.136045E-01,6.25692,63.4289,7.44900,1.07763,0.392677,0.141271,0.100644,0.00000,0.101500,0.746201E-01
0,49,3.00545,101.612,0.998331E-01,2.70067,6.34703,0.136045E-01,6.29132,64.2806,7.17270,0.365418,1.07220,0.143148,0.987359E-01,0.00000,0.101130,0.750189E-01
0,50,2.71921,102.547,0.967226E-01,2.70621,6.44473,0.136045E-01,6.10568,65.3522,6.85249,0.637154,1.41387,0.145541,0.985310E-01,0.00000,0.101673,0.713760E-01
0,51,2.98049,103.409,0.991438E-01,2.71010,6.53905,0.136045E-01,5.96233,66.4178,7.18013,0.832358,0.735831,0.147908,0.992009E-01,0.00000,0.100846,0.778363E-01
0,52,2.88495,104.277,0.997190E-01,2.71183,6.63445,0.136045E-01,5.91922,67.7829,6.78675,0.377939,1.75874,0.150953,0.983342E-01,0.00000,0.102248,0.754757E-01
0,53,2.70521,105.162,0.963497E-01,2.71633,6.73672,0.136045E-01,6.28363,69.2663,7.09085,0.965260,1.21883,0.154255,0.999255E-01,0.00000,0.102626,0.757137E-01
0,54,3.02054,105.942,0.100988,2.71882,6.83195,0.136045E-01,5.84973,70.5177,7.04050,0.728115,1.28360,0.157026,0.993832E-01,0.00000,0.102244,0.732000E-01
0,55,2.98118,106.811,0.988413E-01,2.72335,6.93302,0.136045E-01,6.38037,71.5933,7.31131,0.687355,0.796846,0.159426,0.998045E-01,0.00000,0.101576,0.737682E-01
0,56,3.50590,107.607,0.105843,2.72571,7.02445,0.136045E-01,5.92276,72.4435,7.33490,0.789358,0.813312,0.161315,0.995523E-01,0.00000,0.101368,0.715027E-01
0,57,3.60795,108.481,0.108753,2.72732,7.11608,0.136045E-01,6.05515,73.0824,7.12289,0.784333,0.812913,0.162742,0.982275E-01,0.00000,0.100031,0.698789E-01
0,58,3.39168,109.371,0.106180,2.73237,7.21320,0.136045E-01,6.30310,73.7527,7.07374,0.788521,0.680906,0.164227,0.972482E-01,0.00000,0.987459E-01,0.712360E-01
0,59,3.16116,110.216,0.102073,2.73930,7.31387,0.136045E-01,6.37047,74.6359,7.08574,0.608106,0.850381,0.166175,0.967855E-01,0.00000,0.986817E-01,0.718708E-01
0,60,2.96772,110.972,0.993664E-01,2.74524,7.41593,0.136045E-01,6.21423,75.5539,6.87834,0.521312,1.12128,0.168222,0.962292E-01,0.00000,0.987237E-01,0.716173E-01
0,61,2.96662,111.706,0.954232E-01,2.75223,7.52277,0.136045E-01,6.61812,76.6404,7.45798,0.677699,0.516748,0.170638,0.977556E-01,0.00000,0.989007E-01,0.721418E-01
0,62,2.83439,112.326,0.921098E-01,2.75867,7.63247,0.136045E-01,6.58910,77.2181,7.18674,0.434779,0.827731,0.171919,0.966708E-01,0.00000,0.985025E-01,0.770220E-01
0,63,3.22423,112.907,0.975476E-01,2.76146,7.73234,0.136045E-01,6.11035,78.4224,7.18116,0.481691,1.22696,0.174588,0.970439E-01,0.00000,0.997662E-01,0.720656E-01
0,64,3.63825,113.579,0.100188,2.76402,7.83382,0.136045E-01,6.65646,79.2128,7.84382,0.908525,0.124393,0.176339,0.984409E-01,0.00000,0.987140E-01,0.764748E-01
0,65,3.10061,114.245,0.957386E-01,2.76918,7.94115,0.136045E-01,6.65955,79.8061,6.89491,0.360586,1.50210,0.177656,0.954025E-01,0.00000,0.987528E-01,0.755292E-01
